scenario,scene_id,valid_pixels,total_pixels,valid_ratio,mean,median,std,min,max,p10,p90
ground_rot_45,scene_0290,22,196,0.11224489795918367,0.35558953881263733,0.3365037739276886,0.10583623498678207,0.13602979481220245,0.547394871711731,0.18831098079681396,0.4905581474304199
ground_rot_45,scene_0291,15,196,0.07653061224489796,0.5016872882843018,0.5122616291046143,0.13473960757255554,0.29917532205581665,0.7173547744750977,0.3166930675506592,0.6605195999145508
ground_rot_45,scene_0292,52,196,0.2653061224489796,0.2581656575202942,0.2601301074028015,0.11116708070039749,-0.09866990894079208,0.48141708970069885,0.14760558307170868,0.3668781816959381
ground_rot_45,scene_0293,18,196,0.09183673469387756,0.1471463143825531,0.12210742384195328,0.12625370919704437,-0.17428117990493774,0.36953410506248474,0.027195721864700317,0.3105054497718811
ground_rot_45,scene_0294,35,196,0.17857142857142858,0.30134040117263794,0.3191205859184265,0.11334968358278275,-0.0032232217490673065,0.4792162775993347,0.15719756484031677,0.4358712136745453
ground_rot_45,scene_0295,45,196,0.22959183673469388,0.14983558654785156,0.13978475332260132,0.16412138938903809,-0.2680831551551819,0.476773738861084,-0.019514841958880424,0.3603615164756775
ground_rot_45,scene_0296,33,196,0.1683673469387755,0.10614561289548874,0.08885230123996735,0.12935657799243927,-0.11581544578075409,0.3649015426635742,-0.058536846190690994,0.27058738470077515
ground_rot_45,scene_0297,24,196,0.12244897959183673,0.257548987865448,0.2574421167373657,0.09913140535354614,0.03675960749387741,0.42079293727874756,0.14274157583713531,0.37373989820480347
ground_rot_45,scene_0298,32,196,0.16326530612244897,0.21832431852817535,0.21977195143699646,0.13836124539375305,-0.07850095629692078,0.475031316280365,0.036085210740566254,0.3519427478313446
ground_rot_45,scene_0299,35,196,0.17857142857142858,0.23885825276374817,0.2582312226295471,0.14309559762477875,-0.09960953891277313,0.4560070335865021,0.03492237627506256,0.4181193709373474
ground_rot_45,scene_0300,43,196,0.2193877551020408,0.22836604714393616,0.2315904200077057,0.13589777052402496,-0.13453122973442078,0.43510615825653076,0.06342746317386627,0.3803876042366028
ground_rot_45,scene_0301,29,196,0.14795918367346939,0.18147528171539307,0.20545831322669983,0.16009435057640076,-0.10629921406507492,0.4156193435192108,-0.0327504463493824,0.3950585722923279
ground_rot_45,scene_0302,13,196,0.0663265306122449,0.3290660083293915,0.3266441822052002,0.1011776253581047,0.18395712971687317,0.5065404176712036,0.20093503594398499,0.4745723009109497
ground_rot_45,scene_0303,39,196,0.1989795918367347,0.21445567905902863,0.23058557510375977,0.09795535355806351,0.016312599182128906,0.392391562461853,0.09337233006954193,0.3481592535972595
